First Name,Last Name,Company,Position,Link,Image,Thumbnail,Description,Twitter,Twitter Description,Twitter Image,Snippet,Snippet Title
Calvin,Choi,L'OFFICIEL INC.,Chairman,https://sg.linkedin.com/in/aileen-soh-%E8%98%87%E6%84%9B%E6%B7%A9-2618899,,,"to create a win-win situation for both the company and advertisers is my main objective and to have a good relationship/friendship is my principle as they are my most valuable asset wherever i go.<br><br>The ability to lead and oversee the sales and marketing in Singapore & Malaysia and achieve the desired revenue given.<br><br>The ability to provide guidance and coaching to the team as to achieve the impossible during challenging time. <br><br>Change is constant so one must continue to upgrade. Achieved ACTA course and a certified digital marketing strategist that will enable me to contribute further in my area of expertise.  | Learn more about Aileen Soh (蘇愛淩)'s work experience, education, connections & more by visiting their profile on LinkedIn",,,,"L'Officiel Inc Managing Director-SEA, ACTA Certified Trainer (Mandarin) MOE Chinese Teacher Certified Digital ... Tao Nan School Graphic ... Calvin Choi.",Aileen Soh (蘇愛淩) - Managing Director SEA - L'OFFICIEL INC ...
Justin,John,Deutsche Bank,Associate,https://blueearth.capital/team/,,,"We are a multi-national, cross-functional team that has invested in and developed businesses across Asia, Africa, Europe and the Americas.",,,,"During her decade-long tenure at Partners Group, Nan was responsible for advancing the ... Prior to Deutsche Bank, Amy worked as an Investment Associate at ...",Investment Team
Ganesh,Krishnan,Indian Institute of Management Bangalore,Adjunct Professor,https://www.tcs.tifr.res.in/sites/default/files/STCS_Brochure_BW_Tabs.pdf,,,,,,,"Jun 5, 2018 ... nan, Ramprasad Saptharishi, Piyush Srivastava and Anamay Tengse for their efforts in ... Adjunct Professor (2015 – 2018), Adjunct Associate.",School of Technology and Computer Science
