First Name,Last Name,Company,Position,Link,Image,Thumbnail,Description,Twitter,Twitter Description,Twitter Image,Snippet,Snippet Title
Ashutosh,Vaidya,Multi Commodity Exchange of India Ltd.,Public Interest Director,https://linkingsky.com/Docs/Bank/CA/All_All.pdf,,,,,,,"Nov 15, 2000 ... Sudhakar Rao will be new Chairman and Public Interest Director of BSE ... Multi Commodity Exchange of India Ltd (MCX) wonа'Best Commodity ...",1. P Dhanapal reelected as Tamil Nadu Legislative Assembly ...
Rahul,Bhaskar,Dell Services,Principal Consultant,https://www.scribd.com/document/244565418/AthosConsulting-ProductBased-xls,,,Scribd is the world's largest social reading and publishing site.,,,,Rahul Karmshil Flipkart.com Lead Automation Engineer ... Bhaskar Chatterjee Intuit Product Management ... Ganapthy ThoughtWorks Principal Consultant,AthosConsulting ProductBased | PDF
